"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1202000;"Powiat brzeski";"autobusy";"olej napędowy";"2019";210;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"gaz (LPG)";"2015";2;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"gaz (LPG)";"2016";2;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"gaz (LPG)";"2017";2;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"gaz (LPG)";"2018";2;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"gaz (LPG)";"2019";2;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"pozostałe";"2015";41;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"pozostałe";"2016";40;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"pozostałe";"2017";40;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"pozostałe";"2018";40;"szt.";"";
1202000;"Powiat brzeski";"autobusy";"pozostałe";"2019";43;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"benzyna";"2015";4;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"benzyna";"2016";3;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"benzyna";"2017";3;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"benzyna";"2018";3;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"benzyna";"2019";3;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"olej napędowy";"2015";548;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"olej napędowy";"2016";567;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"olej napędowy";"2017";598;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"olej napędowy";"2018";643;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"olej napędowy";"2019";683;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"gaz (LPG)";"2015";1;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"gaz (LPG)";"2016";1;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"gaz (LPG)";"2017";0;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"gaz (LPG)";"2018";0;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"gaz (LPG)";"2019";1;"szt.";"";
1202000;"Powiat brzeski";"ciągniki siodłowe";"pozostałe";"2015";152;"szt.";"";
